symbol,year,month,day,open,volume
Amazon,2010,10,26,8.3785,93792000
Amazon,2010,10,27,8.4455,114436000
Amazon,2010,10,28,8.4155,93688000
Amazon,2010,10,29,8.29,99970000
Amazon,2010,11,1,8.2225,104798000
Amazon,2010,11,2,8.1875,85200000
Amazon,2010,11,3,8.27,122242000
Amazon,2010,11,4,8.493,147918000
Amazon,2010,11,5,8.4675,104244000
Amazon,2010,11,8,8.542,114120000
Amazon,2010,11,9,8.6335,79572000
Amazon,2010,11,10,8.5295,108806000
Amazon,2010,11,11,8.55,113834000
Amazon,2010,11,12,8.506,143212000
Amazon,2010,11,15,8.258,192972000
Amazon,2010,11,16,7.937,131428000
Amazon,2010,11,17,7.892,90498000
Amazon,2010,11,18,8.037,124506000
Amazon,2010,11,19,8.1975,89296000
Amazon,2010,11,22,8.255,122850000
Amazon,2010,11,23,8.4305,129306000
Amazon,2010,11,24,8.5765,200850000
Amazon,2010,11,26,8.868,85432000
Amazon,2010,11,29,8.9995,193900000
Amazon,2010,11,30,8.8475,135244000
Amazon,2010,12,1,8.958,115402000
Amazon,2010,12,2,8.843,110752000
Amazon,2010,12,3,8.775,98150000
Amazon,2010,12,6,8.776,113084000
Amazon,2010,12,7,9.025,101542000
Amazon,2010,12,8,8.8745,74538000
Amazon,2010,12,9,8.8885,91110000
Amazon,2010,12,10,8.744,71310000
Amazon,2010,12,13,8.8165,84050000
Amazon,2010,12,14,8.714,73706000
Amazon,2010,12,15,8.686,116210000
Amazon,2010,12,16,8.779,82430000
Amazon,2010,12,17,8.9205,90146000
Amazon,2010,12,20,8.9635,174706000
Amazon,2010,12,21,9.194,102220000
Amazon,2010,12,22,9.25,51562000
Amazon,2010,12,23,9.217,67164000
Amazon,2010,12,27,9.095,44988000
Amazon,2010,12,28,9.105,39500000
Amazon,2010,12,29,9.09,62402000
Amazon,2010,12,30,9.196,39224000
Amazon,2010,12,31,9.098,69038000
Amazon,2011,1,3,9.0685,106628000
Amazon,2011,1,4,9.3075,100636000
Amazon,2011,1,5,9.205,68376000
Amazon,2011,1,6,9.325,63594000
Amazon,2011,1,7,9.394,104434000
Amazon,2011,1,10,9.252,67518000
Amazon,2011,1,11,9.271,56284000
Amazon,2011,1,12,9.268,53582000
Amazon,2011,1,13,9.18,67340000
Amazon,2011,1,14,9.275,73256000
Amazon,2011,1,18,9.433,77924000
Amazon,2011,1,19,9.545,77648000
Amazon,2011,1,20,9.2645,114198000
Amazon,2011,1,21,9.15,136124000
Amazon,2011,1,24,8.8975,112006000
Amazon,2011,1,25,8.775,93020000
Amazon,2011,1,26,8.8755,75244000
Amazon,2011,1,27,8.874,291888000
Amazon,2011,1,28,8.5725,398164000
Amazon,2011,1,31,8.508,134362000
Amazon,2011,2,1,8.526,101718000
Amazon,2011,2,2,8.571,90950000
Amazon,2011,2,3,8.675,73578000
Amazon,2011,2,4,8.7,86956000
Amazon,2011,2,7,8.8075,105094000
Amazon,2011,2,8,8.833,155898000
Amazon,2011,2,9,9.1575,166254000
Amazon,2011,2,10,9.2195,106628000
Amazon,2011,2,11,9.278,89758000
Amazon,2011,2,14,9.4625,81226000
Amazon,2011,2,15,9.4365,77818000
Amazon,2011,2,16,9.4885,92564000
Amazon,2011,2,17,9.2885,68510000
Amazon,2011,2,18,9.377,83572000
Amazon,2011,2,22,9.184,112742000
Amazon,2011,2,23,9.0125,109640000
Amazon,2011,2,24,8.843,93130000
Amazon,2011,2,25,8.9475,83828000
Amazon,2011,2,28,8.6955,135664000
Amazon,2011,3,1,8.6765,116942000
Amazon,2011,3,2,8.4545,103714000
Amazon,2011,3,3,8.6855,82764000
Amazon,2011,3,4,8.631,98486000
Amazon,2011,3,7,8.596,118658000
Amazon,2011,3,8,8.4695,84380000
Amazon,2011,3,9,8.3335,142178000
Amazon,2011,3,10,8.3535,119968000
Amazon,2011,3,11,8.275,92198000
Amazon,2011,3,14,8.33,80440000
Amazon,2011,3,15,8.0695,98690000
Amazon,2011,3,16,8.235,104162000
Amazon,2011,3,17,8.2955,129428000
Amazon,2011,3,18,8.0595,148854000
Amazon,2011,3,21,8.1685,81102000
Amazon,2011,3,22,8.2035,72228000
Amazon,2011,3,23,8.115,94426000
Amazon,2011,3,24,8.4105,125664000
Amazon,2011,3,25,8.582,85876000
Amazon,2011,3,28,8.59,68016000
Amazon,2011,3,29,8.5365,97692000
Amazon,2011,3,30,8.889,137186000
Amazon,2011,3,31,8.9655,96530000
Amazon,2011,4,1,9.079,113682000
Amazon,2011,4,4,9.0445,83728000
Amazon,2011,4,5,9.105,111384000
Amazon,2011,4,6,9.3075,108614000
Amazon,2011,4,7,9.139,91280000
Amazon,2011,4,8,9.263,74528000
Amazon,2011,4,11,9.243,65942000
Amazon,2011,4,12,9.153,106690000
Amazon,2011,4,13,9.0415,84326000
Amazon,2011,4,14,9.0695,71764000
Amazon,2011,4,15,9.05,85448000
Amazon,2011,4,18,8.919,92330000
Amazon,2011,4,19,8.9175,52920000
Amazon,2011,4,20,9.081,81350000
Amazon,2011,4,21,9.228,66962000
Amazon,2011,4,25,9.2825,68762000
Amazon,2011,4,26,9.3135,224000000
Amazon,2011,4,27,9.16,472460000
Amazon,2011,4,28,9.798,146000000
Amazon,2011,4,29,9.719,132818000
Amazon,2011,5,2,9.8285,187962000
Amazon,2011,5,3,10.05,122000000
Amazon,2011,5,4,9.9125,131000000
Amazon,2011,5,5,9.933,92000000
Amazon,2011,5,6,9.955,80278000
Amazon,2011,5,9,9.917,116508000
Amazon,2011,5,10,10.097,117718000
Amazon,2011,5,11,10.156,96180000
Amazon,2011,5,12,10.211,96000000
Amazon,2011,5,13,10.285,82474000
Amazon,2011,5,16,10.027,187728000
Amazon,2011,5,17,9.591,141466000
Amazon,2011,5,18,9.7065,99116000
Amazon,2011,5,19,9.9165,74024000
Amazon,2011,5,20,9.8975,67620000
Amazon,2011,5,23,9.778,84000000
Amazon,2011,5,24,9.85,59454000
Amazon,2011,5,25,9.6785,93226000
Amazon,2011,5,26,9.562,81504000
Amazon,2011,5,27,9.738,47052000
Amazon,2011,5,31,9.797,68180000
Amazon,2011,6,1,9.803,68904000
Amazon,2011,6,2,9.614,60898000
Amazon,2011,6,3,9.5615,99490000
Amazon,2011,6,6,9.4005,74320000
Amazon,2011,6,7,9.286,97330000
Amazon,2011,6,8,9.3725,74332000
Amazon,2011,6,9,9.487,83746000
Amazon,2011,6,10,9.4625,75208000
Amazon,2011,6,13,9.3405,77378000
Amazon,2011,6,14,9.4495,79206000
Amazon,2011,6,15,9.402,126354000
Amazon,2011,6,16,9.287,120642000
Amazon,2011,6,17,9.3255,126444000
Amazon,2011,6,20,9.298,56634000
Amazon,2011,6,21,9.415,83652000
Amazon,2011,6,22,9.698,62594000
Amazon,2011,6,23,9.475,92192000
Amazon,2011,6,24,9.694,72290000
Amazon,2011,6,27,9.725,122014000
Amazon,2011,6,28,10.096,76506000
Amazon,2011,6,29,10.1335,92178000
Amazon,2011,6,30,10.039,88962000
Amazon,2011,7,1,10.2775,80174000
Amazon,2011,7,5,10.438,71704000
Amazon,2011,7,6,10.606,52152000
Amazon,2011,7,7,10.7545,62898000
Amazon,2011,7,8,10.715,74158000
Amazon,2011,7,11,10.837,80674000
Amazon,2011,7,12,10.732,79714000
