symbol,year,max_open
Amazon,2010,9.25
Amazon,2011,12.2145
Amazon,2012,13.087
Amazon,2013,20.2325
Amazon,2014,20.4
Amazon,2015,34.594501
Amazon,2016,42.289501
Amazon,2017,60.243999
Amazon,2018,101.905502
Amazon,2019,101.280998
Amazon,2020,177.350006
Amazon,2021,187.199997
Amazon,2022,170.438004
Apple,2010,11.650714
Apple,2011,15.062857
Apple,2012,25.086071
Apple,2013,20.451786
Apple,2014,29.817499
Apple,2015,33.615002
Apple,2016,29.545
Apple,2017,43.7775
Apple,2018,57.695
Apple,2019,72.779999
Apple,2020,138.050003
Apple,2021,181.119995
Apple,2022,182.630005
Google,2010,15.765766
Google,2011,16.084835
Google,2012,19.287037
Google,2013,28.036537
Google,2014,30.700701
Google,2015,39.698002
Google,2016,41.924999
Google,2017,54.151001
Google,2018,64.456001
Google,2019,68.199997
Google,2020,91.027
Google,2021,149.975494
Google,2022,151.25
Microsoft,2010,31.33
Microsoft,2011,28.9
Microsoft,2012,32.91
Microsoft,2013,38.849998
Microsoft,2014,49.740002
Microsoft,2015,56.470001
Microsoft,2016,63.84
Microsoft,2017,87.120003
Microsoft,2018,115.419998
Microsoft,2019,159.449997
Microsoft,2020,229.270004
Microsoft,2021,344.619995
Microsoft,2022,335.350006
