symbol,year,open,volume
Amazon,2017,37.896,70422000
Amazon,2017,37.919498,50210000
Amazon,2017,38.077499,116602000
Amazon,2017,39.118,119724000
Amazon,2017,39.900002,68922000
Amazon,2017,39.830002,51168000
Amazon,2017,39.682999,59856000
Amazon,2017,40.015499,97478000
Amazon,2017,40.716,75838000
Amazon,2017,40.785,73410000
Amazon,2017,40.474998,47084000
Amazon,2017,40.5,50816000
Amazon,2017,40.764,67524000
Amazon,2017,40.34,55950000
Amazon,2017,41.099998,59434000
Amazon,2017,41.289501,78452000
Amazon,2017,41.776501,71726000
Amazon,2017,41.950001,59974000
Amazon,2017,41.650002,74946000
Amazon,2017,41.1875,62744000
Amazon,2017,41.460499,77004000
Amazon,2017,41.829498,147010000
Amazon,2017,40.335999,217376000
Amazon,2017,40.490002,77946000
Amazon,2017,40.4655,69322000
Amazon,2017,40.634499,57160000
Amazon,2017,41.080002,49698000
Amazon,2017,41.191002,48592000
Amazon,2017,41.581001,83452000
Amazon,2017,41.849998,55848000
Amazon,2017,41.700001,59378000
Amazon,2017,42.091999,54294000
Amazon,2017,42.099998,62246000
Amazon,2017,42.442001,70154000
Amazon,2017,42.8475,52340000
Amazon,2017,42.878502,69240000
Amazon,2017,42.234501,73760000
Amazon,2017,42.118999,54272000
Amazon,2017,42.572498,55874000
Amazon,2017,42.6525,55202000
Amazon,2017,42.653999,42642000
Amazon,2017,42.360001,38822000
Amazon,2017,42.261501,52208000
Amazon,2017,42.273998,44952000
Amazon,2017,42.400002,45730000
Amazon,2017,42.549999,40964000
Amazon,2017,42.849998,48728000
Amazon,2017,42.588501,38194000
Amazon,2017,42.677502,42612000
Amazon,2017,42.716499,51244000
Amazon,2017,42.764999,36846000
Amazon,2017,42.6745,67688000
Amazon,2017,42.5755,45654000
Amazon,2017,42.942001,87658000
Amazon,2017,42.0215,53174000
Amazon,2017,42.41,39060000
Amazon,2017,42.584,42766000
Amazon,2017,41.9035,55116000
Amazon,2017,42.587502,60832000
Amazon,2017,42.952499,89716000
Amazon,2017,43.747501,55254000
Amazon,2017,43.849998,79152000
Amazon,2017,44.400002,68446000
Amazon,2017,44.575001,99694000
Amazon,2017,45.541,150168000
Amazon,2017,45.689999,126882000
Amazon,2017,44.982498,74218000
Amazon,2017,44.981499,63686000
Amazon,2017,45.352001,60254000
Amazon,2017,45.154499,49122000
Amazon,2017,44.572498,63492000
Amazon,2017,44.375,57094000
Amazon,2017,45.0495,59984000
Amazon,2017,45.391998,57404000
Amazon,2017,44.985001,56288000
Amazon,2017,45.133499,48410000
Amazon,2017,45.433998,62458000
Amazon,2017,45.352001,67612000
Amazon,2017,45.514999,52178000
Amazon,2017,45.719501,106110000
Amazon,2017,47.441502,147294000
Amazon,2017,46.389999,109330000
Amazon,2017,47.3325,76976000
Amazon,2017,47.299999,71654000
Amazon,2017,47.237499,48368000
Amazon,2017,47.026001,57328000
Amazon,2017,47.047501,68314000
Amazon,2017,47.639999,65242000
Amazon,2017,47.674999,41930000
Amazon,2017,47.255501,43882000
Amazon,2017,47.724998,72518000
Amazon,2017,47.936501,85412000
Amazon,2017,48.049999,62522000
Amazon,2017,47.735001,102912000
Amazon,2017,47.240002,78786000
Amazon,2017,48.141998,79442000
Amazon,2017,48.200001,52844000
Amazon,2017,48.750999,48312000
Amazon,2017,48.799999,48920000
Amazon,2017,49.2425,96440000
Amazon,2017,49.75,69384000
