symbol,year2019,month2019,close1,year2021,month2021,close2,"drawdown (%)"
Amazon,2019,1,76.956497,2021,12,166.716995,116.64000000000001
Apple,2019,1,39.48,2021,12,177.570007,349.77
Google,2019,1,52.734001,2021,12,144.852005,174.67999999999998
Microsoft,2019,1,101.120003,2021,12,336.320007,232.58999999999997
